用户ID,评论文本,发布时间,IP属地,景色评分,趣味评分,性价比评分,赞同数,收藏数,出行类型,评论星级,评论类型
556532327,南宁青秀山是广西壮族自治区的一座山峰，位于南宁市的西北面。这座山峰高居市区之上，它的壮丽景色是南宁名副其实的一张名片。青秀山山势险峻，它的山道树木葱茏，空气清新，让人心旷神怡。青秀山的特别之处在于其多样化的自然景观和文化活动。景区内拥有龙象塔、千年苏铁园等著名景点，展现了热带雨林特色的生态园林景观和中国最大的自然生态兰花专类园——兰园。此外，青秀山还融合了佛教文化，拥有观音禅寺、水月庵等佛教名刹，以及具有异国风情的中泰友谊园等50多个景点。,2024-06-23 发布点评,广西,5.0,5.0,5.0,11,3,单独旅行,0,未知
33698238,进入青秀山仿佛进入了与世隔绝的原始森林，参天大树很震撼，里面还有遍地的鲜花，百合和🌷郁金香漫山遍野，好像步入了花的海洋，如果晚上去，有时候还有各种灯光展，非常值得去，感觉身心都得到了净化😍,2025-01-25 发布点评,陕西,5.0,5.0,5.0,2,2,陪同父母,0,未知
428521396,游玩的项目很多，风景园艺设计不错，但是景区太大，需要花费很长的时间，如果完全步行不现实，因此需要购买观光车或小火车车票，车票在整趟旅程中算下来花费较高，建议景区实行车票通票,2025-03-18 发布点评,广西,5.0,4.0,3.0,0,0,陪同父母,0,未知
14186056,青秀山简直太美了，真是个名副其实的5A级景区。景区门票只要20元，通常是从北门进园，主要的人文景观在西区，植物景观在东区，可以坐小火车或观光车，沿途很多站点，每站都可以自由上下，观光车单次收费五元，小火车单次收费十元，不计次的套票是50元。要想把所有景观都玩遍是很难的，所以还是应该做好攻略选定范围，全程如果徒步的话，玩下来肯定要一天时间，所以乘坐交通接驳车是一个必要的选择，主要是园内的面积太大了。个人比较喜欢人文景观，所以感觉观音禅寺和龙象塔一定是必去的。景区建设和运营的都非常到位，工作人员尽职尽责，这应该是南宁必须打卡的一个地方了吧？,2021-10-04 发布点评,,5.0,5.0,5.0,61,0,,0,未知
102223190,青秀山作为国家5A景区，名不虚传，景色非常非常的好。我是二月初来的，白天20多℃，很舒适，到处是花的海洋。景区很大，需要一天时间。西门进来首先是大片的郁金香画展抢夺相机拍照。有一个长廊里边全是各国的民俗介绍。北门附近区域风景最好，那个萌生植物园进来仿佛来到仙境。南门附近区域是爬山为主，山上有座南宁的地标塔但现在不能进去。景区道路和指示牌修的很好，可以做大电瓶车。也可以租用小电瓶车自己开。景区还有步道可以锻炼。空气相当滴棒。20块钱的门票真是值。唯一美中不足的是淡季，不少服务点没开门营业。,2021-02-07 发布点评,,5.0,5.0,5.0,69,0,,0,未知
66781912,南宁市内景点不多，首推青秀山旅游风景区。位于南宁市中心邕江畔，是拥有1700年悠久历史的壮乡名山，青秀山以南亚热带植物景观为特色，常年云雾环绕，素有“城市绿肺”、“绿城翡翠，壮乡凤凰”的美誉，是南宁市最靓丽的城市名片之一。青秀山山不高而秀，水不深而清，历史底蕴深厚、文化资源丰富，有元泉、董泉、明代风格的龙象塔以及具有鲜明亚热带风光特色的棕榈园、芳香色艳的香花园、桃花岛等知名景点，还拥有佛教名刹-观音禅寺、水月庵以及别具异国风情的中泰友谊园等50多个景点，来这里能感受近在咫尺的城市文明与自然生态的和谐之美。景区推荐游览路线：西门→广西十二世居民族雕塑群→壮锦广场→状元泉文化园→千年苏铁园→龙象塔→雨林大观→凤凰阁。青秀山门票20元，可登录各网站进行购买，购买成功后到青秀山风景区北门、西门入口处出示二维码刷闸机入园。如果时间短暂，观光车是一定要坐的，因为徒步还是很远的。另外还可以选择骑行，位于青秀山核心景区内的自行车绿道，长19800米，宽3米，目前已建有2个自行车绿道综合服务站点（西门3号门入门约500米、北大门（沉香路）入门约100米处 ），现有310辆自行车投入租赁运营，车型分26寸及24寸两种。每辆40元起租。超过3小时每小时加收10元。我是顺时针，一个爱旅行爱摄影爱打卡的大龄青年，虽不是职业旅行人士，但旅行已是我生命中的必修课，是我生活不可或缺的一部分，我爱随性随意的随拍，也爱分享我的旅程心得和体验，如果你觉得我的笔记有帮助到你，请随手给个赞鼓励哦。,2020-11-16 发布点评,,5.0,5.0,5.0,52,0,朋友出游,0,未知
42299614,青秀山真的是值得推荐的，门票20块钱的5A景区，真的是良心价，有学生证的记得带上，半价只需要十块钱噢，不要太划算的说交通:地铁可以直达青秀山，地铁出口出来就是青秀山景区大门了，交通非常的方便的说，还有好多公交车可以到，打车也很方便景点:没来之前一直以为只是个公园而已，来了之后没想到这么大，一进去是东盟长廊，能看到东盟文化。还有东盟植物，里面太大了，建议购买电瓶车，做一次五块钱，不太贵核心景点是环山秀坪，好大的一个草坪，可以在这里休息个人最喜欢热带植物园，可以看到好多热带植物，对于北方人来说非常新鲜,2020-10-02 发布点评,,5.0,5.0,5.0,41,0,,0,未知
78136555,这个景区成功的把中国所有的景区的脸都扇了一遍，单说性价比，这是我见过有史以来中国景区里面性价比最高的，20元的门票，34块钱的电动车全天无限制，30元的自行车包天，整个山上空气非常非常的好，花香宜人，我甚至就不想下来，如果不是要赶飞机，我觉得这个地方应该来2到3天悠闲的游览比较合适,2019-04-12 发布点评,,5.0,5.0,5.0,16,0,,0,未知
447238981,山如其名，山清水秀，绿树成林，花开似锦，空气清新，顺着盘山公路拾阶而上，一路鸟语花香，景色宜人，沿路的小商铺可以吃到当地特色小吃，饮料小吃价格适中，性价比高。,2025-05-13 发布点评,上海,5.0,5.0,5.0,0,0,家庭亲子,0,未知
79502166,非常值得打卡的公园或叫植物园，里面真的好大，而且是非常划算的景区，门票不贵，景区车车也不贵，开景区车车的小哥很礼貌，脾气也很好，正赶上景区的菊花展，太美了。,2024-12-13 发布点评,广西,5.0,4.0,5.0,0,0,朋友出游,0,未知
553364133,景區好大，可徒步，也可半徒步，半乘車，門票車票都不貴，各種花開的好天氣，更適合觀賞，遊玩！遠離塵囂，散步花園，人生一大享受！,2025-05-15 发布点评,广西,5.0,5.0,5.0,1,0,,0,未知
548942653,南宁青秀山：城市绿洲中的自然与人文交响诗若论中国城市公园的巅峰之作，南宁青秀山当属教科书级范本——它既是5A级景区的生态标杆，亦是历史与烟火气交织的“城市会客厅”。这里值得每一位渴望在钢筋森林中寻得诗意栖居的都市人奔赴，更值得文化探秘者深入解码其跨越千年的文明密码。三大不可复制的灵魂亮点        其一，四季轮转的花卉史诗：春日的黄花风铃木以400亩金色浪潮席卷山野，花海与东盟风情演出共舞；秋日菊花展以万株缤纷姿态重构《秋声赋》的意境；冬日的兰园则以3000种珍稀兰花演绎“空谷幽兰”的东方美学。其二，时空折叠的建筑奇观：70米高的龙象塔登顶可俯瞰邕城全景，唐代观音禅寺的千年香火与侏罗纪恐龙灯光秀共处一山，历史与魔幻在此碰撞；其三，生态文明的硬核实验**：千年苏铁园以2亿年“活化石”诉说地球变迁，雨林大观3000种热带植物构建出微型亚马逊，堪称自然教科书的立体展演。超越景观的沉浸式体验          拒绝打卡式游览！建议清晨潜入荫生植物园，触摸蕨类叶脉上的晨露，仿若与白垩纪雨林对话；黄昏时沿西线徒步，途经太平天国遗址的石垒，耳畔仿佛回荡金田起义的号角。夜游模式更是王牌——北门区的“恐龙世界”以60只机械巨兽重现侏罗纪奇观，金杉湖的水幕秀用光影重写《梁祝》传说，而兰园的夜间开花植物展则颠覆了“赏花需趁昼”的常识。是否值得？        20元门票是城市馈赠的生态福利。当你在龙象塔顶看高铁划破天际线，或在千年苏铁下听闻越南游客的惊叹，会顿悟这里早已超越“公园”定义——它是东盟文化交融的微缩现场，更是现代人重拾自然感知力的疗愈场。建议避开周末人潮，带望远镜观察苏铁孢子叶的远古纹路，最后于山顶茶室点一壶横县茉莉，看暮色将邕江染成鎏金绸缎。若恰逢3月，黄花风铃木的黄金暴雨正值巅峰，错过需再候一年。          点评深度融合生态、历史与体验三重维度，援引景区特色活动与建筑符号，凸显青秀山作为“城市绿肺”与“文化芯片”的双重价值。,2025-03-13 发布点评,贵州,5.0,5.0,5.0,1,0,朋友出游,0,未知
470766477,青秀山绝对是南宁的“城市绿肺”，5A级景区门票才20块，性价比超高！这里简直就是个巨型植物园，千年苏铁园里能看到1300多岁的“苏铁王”，雨林大观里热带植物密密麻麻，负氧离子爆表，吸一口空气都觉得赚了。  必打卡的景点超多：兰园里30万株兰花随便拍都是大片；龙象塔登顶能俯瞰整个南宁；观音禅寺香火超旺，求学业、求姻缘的本地人络绎不绝。春天桃花岛3万株桃花开成粉色海洋，秋天桂花园飘香，季节限定美景不重样。  交通也方便，地铁3号线直达西门，景区里观光车5块钱随便坐。不过节假日人巨多，春节灯会时能挤到90多万人次，建议错峰来。适合遛娃、拍照、吸氧、祈福，南宁人来了N次都不腻的宝藏地！,2025-04-25 发布点评,广东,4.0,4.0,4.0,0,0,朋友出游,0,未知
341190002,南宁青秀山：自然与人文交织的诗意胜地在广西南宁的邕江畔，青秀山静卧大地，以青山为骨，以秀水为脉，以人文为魂，绘就出一幅山水相依、古今交融的绝美画卷，成为无数游客心驰神往的旅游胜地。踏入青秀山，仿若闯进了一个被绿意浸透的世外桃源。这里峰峦起伏，植被繁茂，四季常青。雨林大观里，高大的望天树直插云霄，茂密的藤萝相互缠绕，珍稀的桫椤在林间静静生长，阳光透过层层枝叶，洒下细碎的光影，漫步其间，每一口呼吸都满是清新与惬意，负氧离子在周身环绕，让人仿若置身于真正的人间仙境。移步兰园，又是另一番如梦似幻的景象。300多种、30余万株兰花在此争奇斗艳，卡特兰雍容华贵，蝴蝶兰轻盈灵动，石斛兰清新淡雅，它们或在枝头绽放，或于石缝间探出头来，微风拂过，花枝摇曳，阵阵清香扑鼻而来，令人沉醉不已。作为历史文化的承载地，青秀山沉淀着千年的故事。龙象塔高高耸立在青秀山之巅，它始建于明朝万历年间，八角九层，气势恢宏。登上塔顶，凭栏远眺，邕江如一条蜿蜒的玉带穿城而过，南宁城的现代繁华与山水的自然灵秀尽收眼底，让人不禁感叹历史与现代的奇妙交融。千年古刹观音禅寺，隐匿于山林之间，红墙青瓦，庄严肃穆。寺内香烟袅袅，梵音阵阵，大雄宝殿中的佛像慈悲祥和，让人在这一方净土中，忘却尘世纷扰，寻得内心的宁静。而抗日学生军纪念碑，静静矗立在青秀山的一角，碑上的每一道刻痕，都铭刻着那段热血激昂的抗战岁月，无声诉说着革命先辈们的英勇事迹，传递着爱国精神与民族气节。在青秀山，还能感受到浓郁的国际风情。友谊长廊独具匠心，融合了侗族风雨桥与岭南园林的特色，长廊两侧展示着东盟十国的风情文化，漫步其中，仿佛开启了一场不出国门的东南亚之旅。中国 - 东盟友谊园里，各国特色的园林景观错落有致，见证着中国与东盟国家的友好往来，承载着深厚的国际情谊 。青秀山，它不只是一座山，更是一部自然与人文交织的史诗，是南宁向世界递出的一张诗意名片。无论你是渴望逃离喧嚣，亲近自然，还是热衷于探寻历史，感受文化的魅力，又或是想要领略多元的国际风情，青秀山都能给你一场难忘的旅行体验。来吧，来赴一场与青秀山的浪漫之约。,2025-03-11 发布点评,福建,5.0,5.0,5.0,0,0,情侣夫妻,0,未知
149446529,青秀山公园是5 A景区，南宁的名片。景色优美，公园面积大，每个景点之间有景区小火车或观光车接送，每个景点坐车需重新买票。建议去玩之前做好游玩攻略，重点玩哪几个景点，兰园、荫生植物园、观音禅寺、环山秀坪等值得一去。我们打车从北门进，北门出，打车很方便。坐地铁出行的可以选择西门。,2024-12-29 发布点评,山西,5.0,5.0,5.0,0,0,朋友出游,0,未知
328302132,【景色】风景还是老漂亮了，我是蛮久之前去的，偶然翻翻相册看到，忍不住分享一下那时正值灯展，好多漂亮的花灯哟【性价比】我坐地铁过去的，出了地铁口就是青秀山，门票也不贵，订的20块，去到了就是去买观光车票，10块一人吧。一路上山的风景很美，吹风感觉更安逸,2021-08-17 发布点评,,5.0,5.0,5.0,8,0,,0,未知
294911852,青秀山作为南宁的重点开发的风景区可是担当着南宁的门面，走进去能做的只有不停拍照，😄被它独具特色的景色吸引：✨千年苏铁园：没想到这个园内收集了那么多奇花异草（听说有上万株），你说厉不厉害；✨龙象塔：可谓是景区的标志性景点了，位于青秀山山顶，来到塔上很有征服感，是进园的打卡点；✨友谊长廊：纵观民族特色和风土人情，体现着各民族精神文化的丰富多彩；✨其他景点：雨林大观、塔影天池、桃花艺术节（2月份）、新春庙会（春季）总结：门票20/人/次，有学生票的同学购买打对折，观光车5元/次，小火车10/次，有自行车可租赁（50）第一次去逛了好久逛不完，（还是先坐观光车好点）没什么经验照片也仓促😅下次继续努力。坐标：广西南宁市-青秀区凤岭南路6-6号个人评价，仅供参考哦,2020-12-29 发布点评,,5.0,4.0,4.0,56,0,,0,未知
7093840,网上买的门票，提前一天18元，现场20元。北门进的，买的观光车通票34元，18:00前不限上下次数，想锻炼身体的是个好地方，不高，路也算平缓。雨林大观和龙象塔最值得看。箫台不要爬了，很累，上面什么都没有。观音禅寺是最高点，也值得到访。,2019-09-29 发布点评,,5.0,5.0,5.0,17,4,,0,未知
22176320,荫生植物园，吴克群同款机位，很多可以打卡拍照的地方，我们走了3小时都只是看了精华一点的位置，全程小火车，电瓶车，景区非常大，可以玩足一日。,2025-03-12 发布点评,广东,4.0,4.0,4.0,0,0,朋友出游,0,未知
3135192,青秀山公园好大好大，很好玩的园子，内部有电瓶车可乘座，需另付费购票。整个园子玩下来需要一天时间。,2025-02-10 发布点评,辽宁,5.0,5.0,5.0,0,0,家庭亲子,0,未知
149446529,景区景色优美，面积很大，如来南宁旅游，需提前规划景点。建议乘坐小火车或小交通观光车前往。每个景点之间距离太远，如步行游玩费时间且玩得景点少。至少需要用一天时间游玩。,2024-12-20 发布点评,广西,5.0,5.0,5.0,0,0,朋友出游,0,未知
2623670,青秀山游览笔记因特殊的原因，今年在不该出游的五一期间来到南宁，慕名游览了青秀山。青秀山是南宁最重要、最漂亮的景区（没有之一），因为这是南宁唯一的五A景区。青秀山景区位于南宁市中心区的邕江北岸，由一系列小山丘组成，这里也是南宁植物园。广西本就是热带、亚热带植物王国，由于专业规划和悉心培育，这里有许多珍稀的奇花异木，这也是青秀山的主要看点。青秀山景区范围很大，有多个区块组成，园区内有2条电动观光车线路，2条小火车线路。在去南宁之前也做过旅游功课，对青秀山有了一些初步了解，计划用大半天时间游览青秀山。我们一早就进入园区，并购买了观光车通票（50元/每人，当日有效，可无限次上下车）。然而，面对复杂的观光车线路导览图，我们还是很茫然，不知该如何安排游览。先后多次和连续地询问保安、检票人员和观光车司机，但他们似乎都没有热情来解答游客的提问，都是爱答不理地回答，使我们始终不得要领。所以，我们是多次地上下车，颠来倒去，大量时间耗费在坐车和等车上（有时一个乘车点还要等上半小时），到了下午不得不离开青秀山去机场时，也只游览了部分景点。回顾这次游览，有如下一些体会：1.    游览青秀山尤其需要提前做功课，对于时间、体力都有限的外地游客不可能游览整个景区，更应提前了解景区的各主要景点，选择感兴趣的景点游览，网上有很多写的很好攻略可供参考。2.    由于景区很大，各大门到中心景区都较远，对于时间、体力都有限的外地游客最好坐观光车或小火车进出中心景区。3.    对于只游览主要景点的外地游客没有必要买观光车通票，除了各大门到中心景区较远最好坐车外，中心景区的各景点都较近可以步行，而观光车单次票5元/每人，小火车单次票10元/每人，不论距离长短。4.    景区观光车线路是单向环形线路，没有回程车，所以如果乘坐观光车游览也应按观光车线路顺序游览，不按顺序游览只会更浪费时间。5.    和所有热门景点一样，要避免在节假日游览青秀山，否则旅游体验真的很差。,2021-05-05 发布点评,,5.0,5.0,5.0,6,0,,0,未知
44205855,南宁素有“绿城”之称，而青秀山也可以称之为“绿城之肺”，这里满山郁郁葱葱，植被覆盖，青山绿水游玩其中，仿佛置身于天然氧吧之中。这里的热带风情植物是亮点，还有珍惜的植物一定不要错过了，景区面积很大，需要搭配电瓶苏铁车游览为佳。,2020-05-20 发布点评,,5.0,5.0,5.0,6,0,,0,未知
2363864,南宁市的青秀山公园被评为五星级景区，风光确实还是不错的，公园占地面积相当大，靠走路是不可能逛完的，还好景区里有交通车，一个人五十元可包一天，单次乘车费用10元。个人比较推荐从北门进入，这个门离兰花，樱花和桃花园相对比较近。在春天的时候还是多看看花比较合适。,2020-05-08 发布点评,,5.0,5.0,4.0,6,0,,0,未知
170384816,提醒:不要从南门口进入，此入口一进门就要爬很陡的路坡，700米很累人，然后再能做观光车，如果北门进，一进门口就可以做车，路也不陡也好走。建议北门进入。门票5A景区才20元，真的很便宜，园区面积超大，必须做观光车，5元一次，通票35元不限次，里面景点很多。可以携程上购买语音讲播，才1.5元，比自己闲逛强多了，园区景点印象更深刻。建议购买。游览时间5-7个小时，做足准备，园区内水5元一瓶，不算便宜，建议自带。,2019-05-20 发布点评,,5.0,0.0,0.0,11,0,,0,未知
24948692,空气清新，植被茂盛，门票20元，不算贵，不过坐观光车需要单独购票，分两种车价格不一样，小火车贵一点，分单次，两次和通票，两次是18元。景区面积挺大的，如果步行逛完可能得一天时间吧。印象比较深刻是观景平台，可以看到南宁大半个城市，还有环山坪那一大片草坪和棕榈树很舒服，在上面游戏静坐或平躺都不错。景区还有些地方没开发好，比如公园里的古道可以清理一下，供游人选择不同的路径，还有些地图上的景点也荒废了，主要都在古道旁边，希望可以更好！,2019-04-19 发布点评,,5.0,4.0,5.0,8,0,,0,未知
175452152,青秀山景区是南宁比较有名的一个景点，景点距离南宁市区很近，交通也很便利。景区内有很多热带植被，也有很多热带水果树，公园内环境也很好，空气清新，这里面玩的游客和市民也很多，以后来南京玩时还会来玩的。,2020-03-17 发布点评,,5.0,5.0,5.0,6,0,,0,未知
106601568,青秀山的灯展，美吧！视觉怎么样？视觉盛宴吧！尤其是第一张，摄影角度刚刚好，倒影接上多完美啊！真是美不胜收，让人流连忘返。我没有这个摄影技术，是同学拍的，让大家来一场视觉大餐。好东西，大家一起分享。,2019-09-05 发布点评,,5.0,5.0,5.0,6,0,,0,未知
67807749,景色秀丽，树木花草样式繁多，设计风格非常独特，就是面积太大，逛不完,2025-01-06 发布点评,江苏,5.0,5.0,5.0,0,0,其他出游,0,未知
216995804,半城绿树，半城楼。山顶可以俯瞰南宁市，有些阴天，不然会很美。,2025-02-02 发布点评,广西,5.0,5.0,5.0,0,0,,0,未知
183473744,到南宁已经下午五点多，直接地铁去了青秀山，打算随便坐个观光小火车逛一圈，恰巧是灯会第一天，各种造型灯展场面震撼，规模多是假山大小，还有一群蜻蜓蚂蚁蝴蝶造型的灯，组成一个花园，翅膀竟然还会动，一段长廊悬挂各种小灯，渐变颜色的水母。,2024-02-07 发布点评,江西,5.0,5.0,5.0,3,0,单独旅行,0,未知
411116,南宁青秀山风景名胜旅游区植物种类共6128种，隶属235科1283属，其中蕨类植物30科79属202种；裸子植物11科22属68种；被子植物194科1182属5858种；有国家级珍稀濒危重点保护植物232种，其中一级重点保护植物92种，二级重点保护植物140种。,2022-08-28 发布点评,上海,5.0,5.0,5.0,5,0,,0,未知
45971006,青秀山风景区位于南宁市区邕江江畔，青山顶上有一座高高的宝塔，叫龙象塔，俗称青山塔。青秀山景区由青山岭、凤凰岭等18座大小岭组成。与满山青翠的树木相映的是山腰上天池和瑶池这两个巨大的人工湖。在各游览区中，又新建了步云门、云天阁、塔影凌云、天外云香、花港晓岚、青秀山房、俩宜亭、盼鹊亭、锦鳞戏波、荷花池、浩浩亭、古道等二十三个风景点。,2021-03-22 发布点评,,5.0,5.0,5.0,7,0,,0,未知
294693455,青秀山风景区是国家AAAAA级景区，也是南宁市最著名的风景区，被评为广西十佳景区之一。从南宁地铁三号线青秀山站出来，就是青秀山风景区的西门。扫码、测量体温，就很顺利进入风景区。当时凭着外地的身份证，还可以免门票。风景区很大，由青山岭、凤凰岭等18座大小岭组成，总面积4.07平方公里，其中水面面积1.46万平方米，绿地面积2.5万平方米，主峰青秀山海拔289米。园内有热带雨林大观、棕榈园、水月庵、龙象塔、泰国园、瑶池、天池等众多的景点以及世界上最大的苏铁园。,2021-02-27 发布点评,,5.0,5.0,5.0,9,0,,0,未知
54369400,已经是连续两年春节来到南宁，这座四季如春，入目皆绿，四季有花的城市。气候宜人，空气清新，城市干净。最喜欢青秀山公园，这次来了个深度游，去了几乎全部景点，公园内景色多样，值得一去，还有郁金香展，非常有新春气氛，是点睛之笔。非常推荐，门票真是超高性价比。,2020-01-29 发布点评,,5.0,5.0,5.0,5,0,,0,未知
589217,在青秀山风景区看到，五颜六色的菊花争相绽放。如粉色系的红喜鹊、尖叶红等，玫红色的东莞红、美人红等，黄色系的绿绣球、板立黄、星火、无锡黄等，白色系的银丝、飘白，绿色系的绿菊，每个品种都各具特色和较高的观赏价值。,2019-12-18 发布点评,,5.0,5.0,5.0,5,0,,0,未知
644924,主峰289米～山不在高，在于秀美！誉为“南宁市的巨肺”。总面积4 .07平方公里，其中水面面积14667平方米，绿地面积25000平方米。山中有各种珍稀植物，很好的植物大课堂。,2016-05-13 发布点评,,5.0,5.0,5.0,14,0,,0,未知
120196474,青秀山真的超漂亮，各种拍拍的停不下来，来南宁一趟值了,2024-10-25 发布点评,广东,5.0,3.0,5.0,0,0,陪同父母,0,未知
411116,南宁青秀山风景名胜旅游区拥有迁地保护和园林造景结合的经典之园——千年苏铁园，具有热带雨林特色的生态园林景观——雨林大观，中国最大的自然生态兰花专类园——兰园，还有富有民族特色的壮锦广场、青秀山友谊长廊；及汇聚东盟各国国花、国树和南宁友好城市代表性雕塑的东盟友谊园；具有历史文化的状元泉、董泉、明代风格的龙象塔和具有鲜明亚热带风光特色的棕榈园、芳香色艳的香花园、桃花岛等景点,2022-09-04 发布点评,上海,5.0,5.0,5.0,4,0,,0,未知
