博主名,笔记标题,笔记内容,点赞数,收藏数,评论数,笔记链接
未知博主,210青秀山实况：误入郁金香花海，雨天也浪漫到犯规南宁青秀山的郁金香开疯了！雨天的花海自带滤镜，雾气缭绕，花瓣带露，每一帧都像电影截图。从郁金香花田到三角梅瀑布，再到雾中的桃花坞，一步一景，美到失语。春天的浪漫，一半是花，一半是雨，而青秀山，把这份浪漫做到了极致。青秀山南宁治愈系风景莫奈花园绿野仙踪周末去哪儿手机里第一张春天春天开幕式春节淘个好彩头雨天拍照小红书,210青秀山实况：误入郁金香花海，雨天也浪漫到犯规南宁青秀山的郁金香开疯了！雨天的花海自带滤镜，雾气缭绕，花瓣带露，每一帧都像电影截图。从郁金香花田到三角梅瀑布，再到雾中的桃花坞，一步一景，美到失语。春天的浪漫，一半是花，一半是雨，而青秀山，把这份浪漫做到了极致。青秀山南宁治愈系风景莫奈花园绿野仙踪周末去哪儿手机里第一张春天春天开幕式春节淘个好彩头雨天拍照,348,80,58,https://www.xiaohongshu.com/explore/698ac116000000000a03355f?xsec_token=ABfRp8qLgOaM5RvnJp58dG841iOw4hmRDe0O4kL7mXLv0=&xsec_source=pc_search
未知博主,春节初四南宁青秀山攻略，东门进全程没排队小红书,东门进北门出，因为想以看花为主且尽量避开人流，北门出感觉也更好打车。事实证明挺正确的，下午两点左右看到东门人超多，此时我们已经坐园内小火车去北门了。路线：市区打车到东门步行到叶子花园步行到水生花园步行到莫奈花园步行到丘石花园小火车到北门荫生植物园北门打车回市区酒店（10点入园，15点半出园，每个景点尽情拍照不赶路）叶子花园（P2P5）：强推必去！照片拍出的远远没有肉眼看到的壮观。第一次看到规模这么大，各种颜色的三角梅，建议可以穿纯色浅色衣服去拍会很出片水生花园（P6P8）：大飞燕感觉部分已经有些开败了，但是沿着湖边的犄角旮旯出都布满了各类花莫奈花园（P10P11）：感觉现在不是睡莲的最佳时候，部分都是半开，全绽放的时候应该更好看丘石花园（P12P16）：郁金香开大会，推荐去。半小时一次喷雾，S弯处郁金香和雏菊掩映很出片荫生植物园（P1P18）：收集展示了各类萌生植物390多种，一进去仿佛进入了侏罗纪公园里面的热带雨林，推荐去费用：提前一天线上买门票会便宜，人均18元，性价比挺高。园内交通丘石花园去北门小火车人均20元。人均共38元。春天开幕式春日追花攻略南宁南宁旅游春节旅游青秀山广西旅游,911,899,95,https://www.xiaohongshu.com/explore/69986013000000001b016ffa?xsec_token=AB1QIAmiGMN94ST_lElVw_qcdEpa0FvVaNFiBr-9EMbVY=&xsec_source=pc_search
未知博主,南宁青秀山灯会实测无坑！完整版游玩攻略小红书,门票amp游玩时间1700前入园：灯会门票18元（可联系主包）1700后入园：灯会门票48元推荐1630前抵达，有效避开拥堵与排队高峰入园优选入口认准这个门不绕路直接打车前往青秀山东门进门直达灯会核心区域，无需乘坐小火车、无需排长队仅观赏灯会的话，切勿选择其他入口，往返折腾耗时费力环线游览路线全程不走回头路1叶子花园amp梨花林天黑前在此拍照出片率极高，梨花纷飞氛围感拉满，还能休憩等候花灯亮起2梅园·千灯愿长廊日落15分钟后的蓝调时刻，拍摄千灯小径效果绝佳3音乐大草坪打铁花、无人机表演均在此上演无需拥挤在湖边，周边高坡观景视野更佳无人机与打铁花表演仅初八前开放，初八后取消4梦幻城堡本届灯会人气最高花灯，沿湖全程可拍摄，必打卡点位5奇异植物园林间小路氛围感十足，角落装饰精致细腻，小众拍照圣地6侏罗纪公园灯会核心区域，大型灯光装置密集分布，沉浸式体验灯海美景游览结束后直接返回东门，形成完美游览闭环离场实用技巧出园后通过天桥前往马路对面打车，避开拥堵，叫车效率更高灯会南宁青秀山灯会南宁旅游攻略青秀山游玩攻略南宁拍照春节去哪儿,128,109,31,https://www.xiaohongshu.com/explore/699928a0000000000c035fcc?xsec_token=ABb6dD341N0uJFZhNHFQ62YW1Ff3PVLtlFrMDxOBqLNWc=&xsec_source=pc_search
未知博主,青秀山3小时暴走，附懒人路线小红书,4点从青秀山东门冲，把精华景点逛了个遍！进门直接扎进叶子花园莫奈花园，两个园子连在一起。逛完坐10元小火车到北门兰园，走几分钟就是荫生植物园，接着步行去丰收稻田，最后到魔幻森林，脚有点软，虽然没看成非遗火艺表演，但这趟已经够满足。中途还就看见了彩虹打卡路线：东门叶子花园、莫奈花园北门兰园（乘坐小火车）荫生植物园丰收稻田魔幻森林北门真心建议时间充足的宝子：从北门坐小火车去观音禅寺，古今穿越机位能俯瞰整座城，风光绝了！大疆pocket3青秀山青秀山攻略南宁景点打卡,532,505,15,https://www.xiaohongshu.com/explore/68e28de40000000005000b87?xsec_token=ABfdrV1_R8XkFEqhkHwR78WNU091hB3B8z-f8gNoUH1jU=&xsec_source=pc_search
未知博主,213半天速通南宁青秀山小红书,跟着p18博主攻略走的，很清楚高效最后我们实际路线北门荫生植物园兰园观音禅寺步云门丘石花园叶子花园东门不急着赶路10点半北门，快3点东门离开其中也是有回头路的不过要换乘就无法避免p12打车到北门路上遇到超好的司机大哥还遇到很多ld车p35荫生植物园人最多的地方都在拍照打卡隔15分钟会喷雾跟厦门植物园差不多吧p6兰园有很多漂亮的蝴蝶兰p7观音禅寺殿很多，不用爬什么台阶p89步云门这站没什么人，但体验不错走在台阶上两侧绿荫遮着很安静有种神之道的感觉最上面龙象塔是重建的沿楼梯可以9层爬上去p1014丘石花园被xhs上美图骗来的感觉这块养护成本很高开过了就换一批新的很多阿嬷在种花路上泥很多不及预期p15叶子花园这片全是三角梅真走不动了在上面随便咔了一张p16三人战绩可查能坐车就坐车吧本人是兰园出来就累了青秀山青秀山攻略,617,657,22,https://www.xiaohongshu.com/explore/698f4b29000000001a028953?xsec_token=AB758bU8MzPDFBZ5U5aytmZnPSWxy_VlD8VaBaspec_yQ=&xsec_source=pc_search
未知博主,青秀山不费脚攻略（新春灯会版）小红书,青秀山真的很美！但景区太大了，这次来主要想看新春灯会的表演顺便看看应季花，所以只选择了东区。东门进东门出（1700前进门票20r）1东门进去就是叶子花园，主要看各种颜色的三角梅，漫山遍野很好看2叶子花园往下走到莫奈花园，很有油画感，旁边还有一些水生植物3逛完莫奈花园后往坡上搭小火车的地方走，搭乘110r人的小火车到南区（丘石公园）看郁金香，非常适合出片，别忘了往里走走看河边的郁金香，每隔半个小时会放水雾，仙气飘飘的感觉4跟着指示牌走到音乐大草坪（400m左右）就到达观看表演的区域了，附近也有一些小吃，第一场表演是晚上720830，可以提前吃点东西表演有两场，第二场是晚上850开始，人会少一些，如果不赶时间可以趁着第一场散场的时候挑选好一些的位置歌舞表演和无人机只到224（初八），飞天舞狮、飞天火壶、非遗打铁花和火艺秀到33（元宵）5看完无人机表演去逛花灯，跟着人流走，边看花灯边走到出口即可，不用走回头路青秀山,45,38,15,https://www.xiaohongshu.com/explore/699cffb5000000001a01ce99?xsec_token=AB0yUl1vkuGH3S5coyGMiCKNOv9jKjizltvjp1YWakAbY=&xsec_source=pc_search
未知博主,年初二打卡青秀山小红书,早9点东门进，12点北门出，完美避开人流。路线如下：打车至东门步行穿过叶子花园步行至丘石花园（约15km，可租电动车开过去）小火车20元人至北门荫生植物园北门打车离开，如果要去古今同框打卡，从北门再坐个5元的车到观音寺后步行可到，我们坐小火车路过那里，觉得天有点阴拍照可能一般，没有去了。叶子花园（P1P3）：惊艳，当之无愧的今日最佳，第一次看到这么多颜色这么大片的三角梅，里面有很多可以打卡的机位。丘石花园（P7P11）：郁金香欧式园林，郁金香有部分还没有全开。荫生植物园（P12P16）：很多没见过的花花草草。P4P5是从叶子花园到丘石花园路上，黄风铃，梅花，大草坪（春天绿了应该美翻）。目前油菜花还很稀疏，黄风铃偶有几株开花，樱花还没上新，这几种花开起来加上绿草地，不敢想有多美，羡慕南宁本地人有这么美的后花园。虽然离开时候人有点多了，但比起成都的锦里武侯祠大庙会之类的春节景点，还是非常舒适的，强推。,364,294,65,https://www.xiaohongshu.com/explore/69956a1b000000000903a870?xsec_token=ABJgOr2CckGvXRBl0rQ3B14Kn7uU1x04weWJzvorAFAUk=&xsec_source=pc_search
未知博主,是谁低估了南宁青秀山小红书,是我是我整个广西的旅程本来是不在南宁停留的无意间在上刷到青秀山，被荫生花园的图吸引了，决定改行程在这儿停留一天下午四点入园的，为了避免太晒，因为我们还想留着晚上看夜花园。但是说实话真的有点赶，整个公园很大很大。为了趁着有太阳，我们先从北门进的，先去了荫生植物园。水雾起的时候拍照真是绝美。然后坐小火车到东门，叶子花园，莫奈花园，水生植物园都在东门这边。中间会经过樱花园，这里春天花开的时候一定很美。整个公园很大很大很大，4个小时是逛不完的，建议分开两天来逛，而且9月还是很热晚上我们留着看了夜花园，我低估了整个灯会的规模，南宁人真的太用心了，一整片里面都是各种场景，而且每个场景都放着原生态的虫鸣声。最壮观的是稻田，真的感觉有一亩地。技术有限，拍不出这个灯会的壮观。P1东门口P24荫生花园P57莫奈花园P810东门孤独的树P1116夜花园敲重点，如果想去夜花园的，建议从东门进，东门拍完了坐小火车来北门这边。下午5点之前到这边，就不用加夜花园的门票了。如果没有赶上的话，要加25块的差价南宁青秀山青秀山灯会荫生花园城市后花园偶遇梵高南宁拍照青秀山北门青秀山攻略青秀山公园,701,407,129,https://www.xiaohongshu.com/explore/68b9bab9000000001c00fcef?xsec_token=ABCOV42CZvj_j0-0Ya2ohqRNazCUwMYctIRqw22-lsuPI=&xsec_source=pc_search
未知博主,Nanning青秀山小红书,作为一个山东人，第一次来广西第一站就来到了青秀山穿越热带雨林不得不说环境非常好，门票20，如果带着家人来可以玩一天我们只是去有名的观音禅寺看了看，香火很旺从门口徒步3公里就可以到达，我们不是节假日去的人也不少，但是环境没得说，景区里还有观光车不喜欢走路的可以坐车，车票好像只要五块钱来南宁的小伙伴可以来逛一逛一起爬山吧园林生态园森林氧吧漫步森林氧吧尽情呼吸,77,17,3,https://www.xiaohongshu.com/explore/68fb0bf40000000007034615?xsec_token=ABxpr5xi9wutwIqopGh1Zizkk8riZ2XVaBUbsqjvb3uYk=&xsec_source=pc_search
未知博主,广西·南宁青秀山风景区·绿野仙踪小红书,南宁美食很丰富不过真的没什么好玩的地方，但青秀山真的很值得一去是南宁植物园也是5A级景区，核心景区主要集中在北门和东门附近。门票：20r人，老人学生儿童半价（可以提前一天看看各大app有没有活动，有活动的时候18r人）观光车车票：西门北门：单程5r人北门东门：单程10r人西门东门：单程20r人游览顺序：1建议先打车至北门，热门的荫生植物园步行约2300米就能到达，再游览兰园和桂花园。（PS：不是桂花季节可不去桂花园。）2返回至北门后坐观光车至东门，按顺序游览叶子花园、竹园、水生花园，最后是莫奈花园，结束可从东门离开。一键播放春天森林治愈系植物园天然森林氧吧南宁旅游南宁旅行南宁植物园南宁青秀山童话里的绿野仙踪误入了莫奈的花园,149,57,8,https://www.xiaohongshu.com/explore/69876162000000000c035fa5?xsec_token=ABVyDtbyq0Wd0UvDAr0GlgzyrT1rotiO6PELa5nJeDe2M=&xsec_source=pc_search
未知博主,南宁青秀山拍到了生命力蓬勃生长的模样！小红书,在南宁，总要去一次青秀山吧！地点：南宁青秀山地铁乘3号线至青秀山站，B出口步行可达西门3号门，直达热门区域。公交西门：B10、32、89、94路等至凤岭南青山路口站。北门：B10、32、121路等至青秀山北门站。东门：W34路，或周末及节假日旅游2路至青秀山东门站。自驾停车：北门、西门、东门均有停车场，机动车计时收费，北门有充电桩，可过夜。贴士门票20元（学生半价），建议购34元观光车通票穿梭景点。南宁拍照青秀山攻略南宁青秀山拍照姿势公园拍照户外拍照周末去哪儿治愈系风景植物园拍出生命力,14,6,0,https://www.xiaohongshu.com/explore/68f48184000000000503a0f9?xsec_token=ABrBl3Pc5s8Q8y-mCsPi40wQtwrCtjlGh33TFYlTMc8TI=&xsec_source=pc_search
未知博主,青秀山最新导览图(附游览车路线和票价)小红书,青秀山最新导览图南宁青秀山青秀山灯会,440,169,14,https://www.xiaohongshu.com/explore/6948c8c9000000001e034217?xsec_token=AB1Gag_RAqoYkJ6GLZeQYXxPse4RpF7yVFRw_FYp84cLE=&xsec_source=pc_search
未知博主,青秀山懒人版超全攻略小红书,青秀山超大，但我只用四个小时玩好了。选择合适的交通，按照以下游玩路线，你也能做到！交通方式：公共交通：北门进，西门出自驾：北门进，北门出1从北门进入向左走到兰园2旁边就是荫生植物园，喷水雾时很梦幻，还有经典悬吊绿毛球打卡机位3出园后返回路口坐观光车到观音禅寺4出来后沿右边往桃花岛的路上，看到指示牌写着桃花坞由此去，沿步道往下走到达网红机位穿越古今打卡点5返回到观音禅寺坐车到环山秀坪，听说这里有孔雀，但是那天没看到6穿过草坪到荷花池，去的时候已经没有荷花，但池塘景色还是很出片7荷花池往上到步云门乘车到北门就可以到停车场了景区内交通：景区内可以步行，间隔比较远的景点之间坐小火车or观光车。小火车10元趟，观光车5元趟。游览车六点钟结束，记住！！！拍照穿搭出片推荐：浅色素雅的法式和森系温馨小提示：青秀山森林覆盖率很高，蚊虫较多，记得做好防护最后小仙女玩得愉快，可以随时在线解答哦照片均是素人约拍客片,3292,3604,53,https://www.xiaohongshu.com/explore/68a69841000000001d021e89?xsec_token=ABq-K3uT_yJpGpAR9vh-qeozTD_f7EWyU4HKGX5gVz-Hs=&xsec_source=pc_search
未知博主,最全的三角梅万能拍照姿势来啦！！小红书,近期闲来无事，只为花忙给大家整理了36个三角梅拍照不重复姿势希望大家都能拍出美美的照片三角梅拍照花墙拍照姿势三角梅拍照姿势三角梅拍照姿势拍照姿势拍照姿势不重样拍花姿势青柠拍照呀南宁约拍南宁女摄青秀山三角梅青秀山约拍女摄三角梅拍照穿搭三角梅穿搭,470,362,2,https://www.xiaohongshu.com/explore/67fb3df8000000000f030926?xsec_token=ABzXnCE7TwyLzjgCdUubQjrpttDBwmIEJHIKgMU0m3ZDM=&xsec_source=pc_search
未知博主,青秀山你漂亮成这样（3h超轻松攻略）小红书,南宁市内的5A景区，实在是漂亮！都过来吸氧！关于门票成人票20，学生票半价10关于路线北门荫生植物园观音禅寺桃花坞（古今中外观景地）环山秀坪北门西门从北门先步行到荫生植物园，一定要来这里，太好看了，每隔15分钟会喷水，有雾气真的很梦幻，很容易看到丁达尔效应。然后出门去买观光车票(记住不是游览车是观光车)买三张。先去观音禅寺，然后到了可以去参观，不参观就沿着桃花坞方向走，会碰到三个观景台，可以边走边坐，眺望整个南宁的风景。然后走到穿越古今观景台，前面是现代建筑后面是古代建筑。继续往桃花岛方向走，走到桃花岛乘车中心(找不到可以导航)上车去环山秀坪，一大片草地，巨好看，后面是树林。可以拍很多草地照，还有孔雀，附近还有荷花。累了就可以坐车离园了，大概半天时间。注意注意一定要带防蚊的东西，绿植多蚊子也多。还有风扇或者扇子，里面还是很热的。祝大家玩的开心！南宁青秀山青秀山拍照攻略旅游一起逛公园吧植物园夏天,1061,622,23,https://www.xiaohongshu.com/explore/68896e85000000002203b50d?xsec_token=ABsIqkElsIdWTtvk43OG5MuCzC_HF80nS9klba_g0kSN8=&xsec_source=pc_search
未知博主,816青秀山实况：雨林大观真的美到窒息小红书,今天也是北门走了一圈甚至因为有点阳光，还跑了一小段北门丛林栈道观景台萧台雨林大观环山秀坪天池苏铁园三宝路花梨路荫生植物园兰园北门。为什么每天在丛林栈道观景台逗留观景台风好大，超凉快，面朝东方，看会日出，远眺音乐大草坪和丘石花园还有远处媒体中心艺术中心。萧台，往上走就是青秀山最高点雨林大观，整点喷雾，最早一次喷雾8点，从北门走到观景台1520分钟，观景台走到雨林大观1520分钟。环山秀坪，9点孔雀出来活动，雨林大观走下来5分钟。旁边的荷花池9点喷雾（去年偶遇一次），应该也是整点喷雾。喷雾时，桥上行人像仙境中游走龙象塔也值得一登高望远可惜了8点半才能上去南宁青秀山治愈系风景童话里的绿野仙踪绿野仙踪100天运动打卡挑战小红书兴趣季小红书外人节周末去哪儿绿色系,2044,856,128,https://www.xiaohongshu.com/explore/68a02f78000000001d001cbe?xsec_token=AB3aAyB-J8v_Zoiw2qFvU0KZcw5vS9zk_Rr-d05gEdnJ0=&xsec_source=pc_search
未知博主,广西很灵的寺庙小红书,南宁青秀山观音禅寺这几年每次回国都回来烧香祈福的寺庙。弟弟二战gongwuyuan的那一年，来求了弟弟顺利上岸；爸爸查出糖尿病的那一年，来求了爸爸身体健康；外公前两年身体欠佳，来求了老人健康长寿。现在弟弟已经成功上岸，爸爸的病情得到了很好的控制，外公虽然有时候小病缠身但仍耳聪目明，状态不错。去年过年带了巴厘岛男朋友来，上了香，请了酥油斗烛，为我们的结合祈福。在心里祈福的时候，有一股暖流涌起，差点落了泪，这是之前来这里祈福没有过的。男朋友也用他自己的方式和庙里的shen明祈求了祝福。我问他和庙里的shen明聊得怎么样，他说没有聊上，可能因为是语言不一样。但是他的到来受了欢迎和祝福。接着2024年年底我们就顺利地举办了婚礼。这段跨国婚姻，从一开始的被怀疑，到最后受到了家里所有人的祝福，意外地顺利。新的一年，希望能抽空去还愿。也祝福2025年家人朋友们平安喜乐、幸福安康！寺庙旅行在寺庙当一刻钟的佛系青年主打一个心诚则灵寺庙祈福愿你所求皆所愿寺庙爱好者寺庙在上班和上进间选择上香愿所得皆所期所求皆所愿上学和上进中选择了上香,1014,366,133,https://www.xiaohongshu.com/explore/6777e4d2000000000800d2a4?xsec_token=ABAJeLl0HDkouQfPw_CQLc_wfIs-kgioSt67GQoX57-t4=&xsec_source=pc_search
未知博主,无标题,无内容,0,0,0,https://www.xiaohongshu.com/explore/eaeec2af-b955-46c2-981c-7240c4bf146a#1772098568933?xsec_token=AB7nupe3IDdIj47M7XjDAUJv4r_iz0KUHZJqkniEPjH97P4FDop2A-iWvi5Yanntkd5c6TsNi9sz1_Z033Cv3bBMawyz8GXlKRkEpwCjuZNZg=&xsec_source=pc_search
